timestamp,sweep_direction,target_rad,target_deg,angle_rad,angle_deg,iq_hold_A,peak_ramp_iq_A,max_overshoot_deg,present_id_A,input_voltage_V,winding_temp_C,powerstage_temp_C,reached_target
1786995466.446677,down,1.9199,110.00,1.9202,110.02,-1.8632,0.7526,0.000,0.0240,19.49,23.0,25.3,True
1786995470.3905108,down,1.7453,100.00,1.7446,99.96,-2.6433,2.5849,0.046,0.0905,19.49,23.2,26.1,True
1786995473.1574042,down,1.5708,90.00,1.5699,89.95,-2.8440,3.0485,0.051,-0.0548,19.49,23.2,26.5,True
1786995476.2452917,down,1.3963,80.00,1.3968,80.03,-3.1780,3.6227,0.000,-0.0164,19.48,23.5,26.6,True
1786995480.5100458,down,1.2217,70.00,1.2210,69.96,-3.0293,3.5335,0.045,-0.0883,19.48,23.5,27.4,True
1786995483.2769547,down,1.0472,60.00,1.0461,59.94,-3.4532,3.7811,0.063,-0.0442,19.48,23.5,27.6,True
1786995485.9369028,down,0.8727,50.00,0.8722,49.98,-3.7958,3.8796,0.024,0.0512,19.48,23.8,27.6,True
1786995488.489733,down,0.6981,40.00,0.6971,39.94,-3.5697,4.3901,0.062,0.0278,19.48,23.8,28.0,True
1786995491.7915792,down,0.5236,30.00,0.5225,29.94,-3.7741,3.9512,0.066,-0.0192,19.47,23.8,28.1,True
1786995496.0563464,down,0.3491,20.00,0.3492,20.00,-4.2481,4.3527,0.000,0.0271,19.47,24.2,28.3,True
1786995498.6092117,down,0.1745,10.00,0.1735,9.94,-3.8121,4.4686,0.061,-0.0461,19.47,24.0,28.8,True
1786995500.2921422,up,0.1745,10.00,0.1735,9.94,-3.7015,3.7991,0.000,-0.0223,19.48,24.0,28.9,True
1786995506.375897,up,0.3491,20.00,0.3514,20.13,-2.1971,2.9412,0.148,0.0095,19.49,24.0,28.3,True
1786995509.0357342,up,0.5236,30.00,0.5280,30.25,-1.4341,2.2350,0.256,0.0244,19.50,23.8,28.3,True
1786995511.695561,up,0.6981,40.00,0.7021,40.23,-1.3289,1.5709,0.232,-0.0011,19.49,23.8,28.3,True
1786995517.03028,up,0.8727,50.00,0.8766,50.22,-1.9594,1.2088,0.283,0.0129,19.50,23.8,28.3,True
1786995520.5460887,up,1.0472,60.00,1.0510,60.22,-1.1199,1.8081,0.225,-0.0068,19.50,23.8,28.2,True
1786995523.4199584,up,1.2217,70.00,1.2260,70.25,-0.7110,0.9339,0.247,0.0100,19.50,23.8,28.1,True
1786995526.5077786,up,1.3963,80.00,1.3981,80.10,-0.6175,0.8780,0.106,-0.0112,19.50,23.8,28.1,True
1786995528.9536638,up,1.5708,90.00,1.5752,90.25,-0.5086,0.4879,0.257,0.0078,19.49,23.8,28.1,True
1786995531.8274744,up,1.7453,100.00,1.7494,100.23,-0.6339,0.6080,0.234,-0.0157,19.50,23.5,28.1,True
1786995534.3803678,up,1.9199,110.00,1.9209,110.06,-0.4105,0.7593,0.060,0.0028,19.50,23.8,28.0,True
