timestamp,target_rad,target_deg,angle_rad,angle_deg,iq_hold_A,peak_ramp_iq_A,present_id_A,input_voltage_V,winding_temp_C,powerstage_temp_C,reached_target
1785872132.5576954,1.8658,106.90,1.8662,106.93,-2.5598,0.6830,0.0102,19.49,25.8,28.1,True
1785872136.0666182,1.6912,96.90,1.6904,96.85,-2.9269,3.1802,0.0234,19.49,26.0,28.9,True
1785872138.6124659,1.5167,86.90,1.5166,86.90,-3.1448,3.3963,-0.0260,19.48,26.0,29.1,True
1785872143.4053032,1.3422,76.90,1.3396,76.75,-3.0584,3.3717,0.0142,19.49,26.0,29.9,True
1785872146.4861758,1.1676,66.90,1.1667,66.85,-3.4606,3.7919,0.0124,19.48,26.2,30.2,True
1785872149.8880513,0.9931,56.90,0.9919,56.83,-3.9078,3.7812,0.0091,19.47,26.5,30.2,True
1785872153.289919,0.8186,46.90,0.8167,46.79,-4.0876,4.3601,-0.0175,19.48,26.5,30.7,True
1785872158.9387279,0.6440,36.90,0.6408,36.72,-3.3635,4.7545,-0.0339,19.49,27.0,30.7,True
1785872161.6985877,0.4695,26.90,0.4705,26.96,-4.5582,4.8175,0.0053,19.47,27.0,31.0,True
1785872165.7424517,0.2950,16.90,0.2919,16.72,-4.6335,5.5353,-0.0187,19.47,27.2,31.5,True
1785872168.288365,0.1205,6.90,0.1170,6.70,-4.0920,4.9465,0.0253,19.47,27.2,31.8,True
1785872170.2853074,0.0900,5.16,0.0873,5.00,-4.1011,4.2481,0.0135,19.48,27.2,31.6,True
